"Dia","Mes","Ano","Estado","Comunidad","Sitio","Latitud","Longitud","Habitat","Zona","TipoProteccion","ANP","BuzoMonitor","HoraInicial","ProfundidadInicial","ProfundidadFinal","Temperatura","Visibilidad","Corriente","Transecto","Genero","Especie","GeneroEspecie","Sexo","Talla","ClaseTalla","Abundancia","RC"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Caio Faro","10:20",19,18.3,25,11,NA,5,"Bodianus","diplotaenia","Bodianus diplotaenia",NA,28,NA,14,"Reserva - Control"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Caio Faro","10:20",19,18.3,25,11,NA,5,"Bodianus","diplotaenia","Bodianus diplotaenia",NA,36,NA,5,"Reserva - Control"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Caio Faro","10:20",19,18.3,25,11,NA,5,"Bodianus","diplotaenia","Bodianus diplotaenia",NA,40,NA,13,"Reserva - Control"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Caio Faro","10:20",19,18.3,25,11,NA,5,"Epinephelus","guttatus","Epinephelus guttatus",NA,39,NA,14,"Reserva - Control"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Caio Faro","10:20",19,18.3,25,11,NA,5,"Epinephelus","guttatus","Epinephelus guttatus",NA,41,NA,13,"Reserva - Control"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Caio Faro","10:20",19,18.3,25,11,NA,5,"Epinephelus","guttatus","Epinephelus guttatus",NA,49,NA,17,"Reserva - Control"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Caio Faro","10:20",19,18.3,25,11,NA,5,"Hoplopagrus","guentherii","Hoplopagrus guentherii",NA,40,NA,11,"Reserva - Control"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Caio Faro","10:20",19,18.3,25,11,NA,5,"Hoplopagrus","guentherii","Hoplopagrus guentherii",NA,45,NA,13,"Reserva - Control"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Caio Faro","10:20",19,18.3,25,11,NA,5,"Hoplopagrus","guentherii","Hoplopagrus guentherii",NA,56,NA,18,"Reserva - Control"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Caio Faro","10:20",19,18.3,25,11,NA,5,"Hoplopagrus","guentherii","Hoplopagrus guentherii",NA,58,NA,19,"Reserva - Control"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Caio Faro","10:20",19,18.3,25,11,NA,5,"Hoplopagrus","guentherii","Hoplopagrus guentherii",NA,62,NA,14,"Reserva - Control"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Caio Faro","10:20",19,18.3,25,11,NA,5,"Mugil","curema","Mugil curema",NA,33,NA,10,"Reserva - Control"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Caio Faro","10:20",19,18.3,25,11,NA,5,"Mugil","curema","Mugil curema",NA,39,NA,19,"Reserva - Control"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Caio Faro","10:20",19,18.3,25,11,NA,5,"Mugil","curema","Mugil curema",NA,42,NA,11,"Reserva - Control"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Caio Faro","10:20",19,18.3,25,11,NA,5,"Muraena","lentiginosa","Muraena lentiginosa",NA,33,NA,18,"Reserva - Control"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Caio Faro","10:20",19,18.3,25,11,NA,5,"Muraena","lentiginosa","Muraena lentiginosa",NA,39,NA,5,"Reserva - Control"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Caio Faro","10:20",19,18.3,25,11,NA,5,"Ocyurus","chrysurus","Ocyurus chrysurus",NA,31,NA,9,"Reserva - Control"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Caio Faro","10:20",19,18.3,25,11,NA,5,"Ocyurus","chrysurus","Ocyurus chrysurus",NA,40,NA,11,"Reserva - Control"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Caio Faro","10:20",19,18.3,25,11,NA,5,"Ocyurus","chrysurus","Ocyurus chrysurus",NA,43,NA,18,"Reserva - Control"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Caio Faro","10:20",19,18.3,25,11,NA,5,"Ocyurus","chrysurus","Ocyurus chrysurus",NA,45,NA,11,"Reserva - Control"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Caio Faro","10:20",19,18.3,25,11,NA,5,"Ocyurus","chrysurus","Ocyurus chrysurus",NA,54,NA,8,"Reserva - Control"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Caio Faro","10:20",19,18.3,25,11,NA,5,"Scarus","coeruleus","Scarus coeruleus",NA,67,NA,13,"Reserva - Control"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Catalina Milagros","6:50",11,10.5,26,6,NA,8,"Epinephelus","guttatus","Epinephelus guttatus",NA,37,NA,9,"Reserva - Control"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Catalina Milagros","6:50",11,10.5,26,6,NA,8,"Epinephelus","guttatus","Epinephelus guttatus",NA,38,NA,10,"Reserva - Control"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Catalina Milagros","6:50",11,10.5,26,6,NA,8,"Epinephelus","guttatus","Epinephelus guttatus",NA,44,NA,12,"Reserva - Control"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Catalina Milagros","6:50",11,10.5,26,6,NA,8,"Muraena","lentiginosa","Muraena lentiginosa",NA,25,NA,9,"Reserva - Control"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Catalina Milagros","6:50",11,10.5,26,6,NA,8,"Muraena","lentiginosa","Muraena lentiginosa",NA,29,NA,10,"Reserva - Control"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Catalina Milagros","6:50",11,10.5,26,6,NA,8,"Muraena","lentiginosa","Muraena lentiginosa",NA,30,NA,16,"Reserva - Control"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Catalina Milagros","6:50",11,10.5,26,6,NA,8,"Muraena","lentiginosa","Muraena lentiginosa",NA,31,NA,14,"Reserva - Control"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Catalina Milagros","6:50",11,10.5,26,6,NA,8,"Ocyurus","chrysurus","Ocyurus chrysurus",NA,30,NA,12,"Reserva - Control"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Catalina Milagros","6:50",11,10.5,26,6,NA,8,"Ocyurus","chrysurus","Ocyurus chrysurus",NA,43,NA,25,"Reserva - Control"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Catalina Milagros","6:50",11,10.5,26,6,NA,8,"Ocyurus","chrysurus","Ocyurus chrysurus",NA,45,NA,14,"Reserva - Control"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Catalina Milagros","6:50",11,10.5,26,6,NA,8,"Ocyurus","chrysurus","Ocyurus chrysurus",NA,46,NA,14,"Reserva - Control"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Catalina Milagros","6:50",11,10.5,26,6,NA,8,"Sparisoma","viride","Sparisoma viride",NA,25,NA,15,"Reserva - Control"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Catalina Milagros","6:50",11,10.5,26,6,NA,8,"Sparisoma","viride","Sparisoma viride",NA,34,NA,13,"Reserva - Control"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Catalina Milagros","6:50",11,10.5,26,6,NA,8,"Sparisoma","viride","Sparisoma viride",NA,38,NA,16,"Reserva - Control"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Catalina Milagros","6:50",11,10.5,26,6,NA,8,"Sphoeroides","lobatus","Sphoeroides lobatus",NA,10,NA,17,"Reserva - Control"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Catalina Milagros","6:50",11,10.5,26,6,NA,8,"Sphoeroides","lobatus","Sphoeroides lobatus",NA,12,NA,18,"Reserva - Control"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Cristobal Libertad","13:40",24,25.7,25,6,NA,7,"Bodianus","diplotaenia","Bodianus diplotaenia",NA,47,NA,11,"Reserva - Control"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Cristobal Libertad","13:40",24,25.7,25,6,NA,7,"Haemulon","sexfasciatum","Haemulon sexfasciatum",NA,33,NA,19,"Reserva - Control"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Cristobal Libertad","13:40",24,25.7,25,6,NA,7,"Haemulon","sexfasciatum","Haemulon sexfasciatum",NA,40,NA,10,"Reserva - Control"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Wagner Quiros","10:20",7,6.7,27,8,NA,12,"Bodianus","diplotaenia","Bodianus diplotaenia",NA,41,NA,13,"Reserva - Control"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Wagner Quiros","10:20",7,6.7,27,8,NA,12,"Bodianus","diplotaenia","Bodianus diplotaenia",NA,42,NA,10,"Reserva - Control"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Wagner Quiros","10:20",7,6.7,27,8,NA,12,"Haemulon","sciurus","Haemulon sciurus",NA,18,NA,21,"Reserva - Control"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Wagner Quiros","10:20",7,6.7,27,8,NA,12,"Haemulon","sciurus","Haemulon sciurus",NA,19,NA,19,"Reserva - Control"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Wagner Quiros","10:20",7,6.7,27,8,NA,12,"Haemulon","sciurus","Haemulon sciurus",NA,26,NA,6,"Reserva - Control"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Wagner Quiros","10:20",7,6.7,27,8,NA,12,"Haemulon","sciurus","Haemulon sciurus",NA,31,NA,13,"Reserva - Control"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Camila Vargas","8:40",26,26.2,26,9,NA,8,"Bodianus","diplotaenia","Bodianus diplotaenia",NA,33,NA,14,"Reserva - Control"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Camila Vargas","8:40",26,26.2,26,9,NA,8,"Bodianus","diplotaenia","Bodianus diplotaenia",NA,39,NA,22,"Reserva - Control"
